Protein,Trend,State_0,State_1,State_2,State_3,State_4
SIGLEC6,Fluctuating,0.0,0.27842554611139736,0.3477275688525593,0.8135701586663908,1.0
SIGLEC7,Gradually Increasing,0.0,0.4722655116731063,0.672296371503679,0.9682326109955467,1.0
SIGLEC7,Fluctuating,0.0,0.4722655116731063,0.672296371503679,0.9682326109955467,1.0
SEZ6L,Fluctuating,0.7521179164731263,0.008135262753401441,0.0,0.2875012657019532,1.0
SESTD1,Fluctuating,0.9551408970147945,1.0,0.9955303097743818,0.7442933412678755,0.0
SETMAR,Fluctuating,0.0,0.806362041579038,1.0,0.6286335634201844,0.6078151562549846
SH2B3,Fluctuating,0.5459958995302121,1.0,0.8398277491297483,0.7742916290069322,0.0
SEZ6L2,Fluctuating,1.0,0.5851121393396047,0.7472022531387654,0.0,0.9537094764573648
SF3B4,Fluctuating,0.6226122265976323,0.8645757124331518,1.0,0.3556597904396565,0.0
SFRP1,Gradually Increasing,0.0,0.6989260991705953,0.845195776323919,0.8651563917741472,1.0
SFRP1,Fluctuating,0.0,0.6989260991705953,0.845195776323919,0.8651563917741472,1.0
SFTPA1,Fluctuating,0.6968377554290499,0.9116240843521712,1.0,0.6599863887515273,0.0
SFTPA2,Fluctuating,0.0,0.46046620826470985,1.0,0.2705654652657311,0.3532056928566595
SFTPD,Gradually Increasing,0.0,0.0031011156733297862,0.4283564994537861,0.9126377395107848,1.0
SFTPD,Fluctuating,0.0,0.0031011156733297862,0.4283564994537861,0.9126377395107848,1.0
RWDD1,Fluctuating,0.0,0.6979630138141051,1.0,0.9363847186286148,0.44819267883412517
RSPO1,Fluctuating,0.08895728863095431,0.9889348825931323,1.0,0.0,0.09670121415590326
RSPO3,Fluctuating,0.0,0.6153134522297391,0.7876637179492231,0.679828318059622,1.0
RTBDN,Fluctuating,0.7385823662985107,0.03847536584400001,0.0,0.05953545517990782,1.0
RTN4R,Gradually Increasing,0.0,0.46818457133923436,0.6266331366846708,0.9438689482130864,1.0
RTN4R,Fluctuating,0.0,0.46818457133923436,0.6266331366846708,0.9438689482130864,1.0
RUVBL1,Fluctuating,0.18606957670426924,0.9260472414985418,1.0,0.0,0.4514201544544179
RRM2,Gradually Increasing,0.0,0.6785707343931031,0.9687059408721402,0.9832225901147028,1.0
RRM2,"0-2 Increasing, 3-4 Decreasing",0.0,0.6785707343931031,0.9687059408721402,0.9832225901147028,1.0
S100A11,Fluctuating,0.0,0.5886059792031375,0.919836827456705,0.8249159627933657,1.0
S100A12,Fluctuating,0.0,0.5716856221155315,1.0,0.8680799761637455,0.7963861249602768
S100A16,Fluctuating,0.22463969955480106,0.609233905491999,1.0,0.0,0.21906274642147658
S100A4,Fluctuating,0.0,0.37400400218246194,1.0,0.7865900853718711,0.4875368660595516
RRM2B,"0-2 Increasing, 3-4 Decreasing",0.0,0.7665978759113912,0.8952147545465403,1.0,0.5962380919060285
RNASET2,Gradually Increasing,0.0,0.39815118197212135,0.509928755835798,1.0,0.9969174921960875
RNASET2,"0-2 Increasing, 3-4 Decreasing",0.0,0.39815118197212135,0.509928755835798,1.0,0.9969174921960875
ROBO2,Fluctuating,0.0,0.6153086267552262,0.9736490922477605,0.7892398378326363,1.0
RNF41,"0-2 Increasing, 3-4 Decreasing",0.0,0.7306690964593481,0.9728456527378994,1.0,0.39515636196981185
ROBO1,Gradually Increasing,0.0,0.3949836344218965,0.6077931930249544,0.8973464777309739,1.0
ROBO1,Fluctuating,0.0,0.3949836344218965,0.6077931930249544,0.8973464777309739,1.0
ROR1,Fluctuating,0.0,0.05224668702212318,0.00959908133272751,0.39783783053997346,1.0
RP2,Fluctuating,0.0,0.5743324676821291,1.0,0.3115282352020146,0.04052126581781057
SCGB3A2,Fluctuating,1.0,0.0,0.12172908350044521,0.3024008403772526,0.40064448784674056
SCGN,Fluctuating,0.25894573234158663,0.0,0.07401404866491894,0.9618667435379114,1.0
SCLY,"0-2 Increasing, 3-4 Decreasing",0.0,0.6536832639238997,0.8102425233867246,1.0,0.7203457861287532
SCG3,"0-2 Decreasing, 3-4 Increasing",1.0,0.29303295638588595,0.2490631471970766,0.0,0.30622787169351745
SCP2,Gradually Decreasing,1.0,0.7535835019318804,0.7399719686660406,0.5901066053406083,0.0
SCRN1,Fluctuating,0.0,0.8350588678134917,1.0,0.5935341935649664,0.3107815020027607
